"GEOID","STATE","COUNTY","TOTAL_POPULATION","DISADVANTAGED_POPULATION","PCT_DISADVANTAGED"
45017,South Carolina,Calhoun County,14663,3530,0.240742003682739
45071,South Carolina,Newberry County,38194,15768,0.412839713043934
45003,South Carolina,Aiken County,168301,75603,0.44921301715379
45047,South Carolina,Greenwood County,70411,30600,0.434591186036273
45015,South Carolina,Berkeley County,215044,64410,0.299520098212459
45041,South Carolina,Florence County,138475,64860,0.46838779563098
45059,South Carolina,Laurens County,66846,32384,0.484456811177931
45091,South Carolina,York County,265872,63357,0.23829888066438
45023,South Carolina,Chester County,32311,23484,0.726811302652348
45077,South Carolina,Pickens County,124029,41052,0.330987107853808
NA,Virgin Islands,NA,NA,NA,NA
11001,District of Columbia,District of Columbia,692683,229793,0.331743380449643
NA,Northern Mariana Islands,NA,NA,NA,NA
19051,Iowa,Davis County,8920,0,0
19157,Iowa,Poweshiek County,18388,0,0
19129,Iowa,Mills County,15034,0,0
19181,Iowa,Warren County,50076,0,0
19095,Iowa,Iowa County,16189,0,0
19015,Iowa,Boone County,26370,0,0
19161,Iowa,Sac County,9802,0,0
19121,Iowa,Madison County,16012,0,0
19083,Iowa,Hardin County,17061,0,0
19087,Iowa,Henry County,19941,0,0
19119,Iowa,Lyon County,11776,0,0
19147,Iowa,Palo Alto County,9003,0,0
19037,Iowa,Chickasaw County,12026,0,0
19089,Iowa,Howard County,9226,0,0
19195,Iowa,Worth County,7445,0,0
19011,Iowa,Benton County,25636,0,0
19035,Iowa,Cherokee County,11343,0,0
19189,Iowa,Winnebago County,10534,0,0
19055,Iowa,Delaware County,17183,0,0
19017,Iowa,Bremer County,24864,0,0
19143,Iowa,Osceola County,6052,0,0
19169,Iowa,Story County,96941,0,0
19025,Iowa,Calhoun County,9744,0,0
19141,Iowa,O'Brien County,13835,0,0
19079,Iowa,Hamilton County,14997,0,0
19159,Iowa,Ringgold County,4964,0,0
19075,Iowa,Grundy County,12299,0,0
19191,Iowa,Winneshiek County,20262,0,0
19165,Iowa,Shelby County,11606,0,0
19059,Iowa,Dickinson County,17127,0,0
19093,Iowa,Ida County,6901,0,0
19031,Iowa,Cedar County,18457,0,0
19077,Iowa,Guthrie County,10669,0,0
19175,Iowa,Union County,12358,0,0
39123,Ohio,Ottawa County,40632,0,0
39103,Ohio,Medina County,177980,0,0
39041,Ohio,Delaware County,201135,0,0
39011,Ohio,Auglaize County,45729,0,0
39159,Ohio,Union County,56707,0,0
39051,Ohio,Fulton County,42253,0,0
49027,Utah,Millard County,12854,0,0
49043,Utah,Summit County,41103,0,0
49015,Utah,Emery County,10117,0,0
49041,Utah,Sevier County,21280,0,0
49009,Utah,Daggett County,613,0,0
49029,Utah,Morgan County,11664,0,0
49033,Utah,Rich County,2389,0,0
49001,Utah,Beaver County,6517,0,0
16015,Idaho,Boise County,7378,0,0
16081,Idaho,Teton County,11426,0,0
48103,Texas,Crane County,4802,0,0
48383,Texas,Reagan County,3766,0,0
48393,Texas,Roberts County,805,0,0
48461,Texas,Upton County,3659,0,0
48335,Texas,Mitchell County,8523,0,0
48259,Texas,Kendall County,43769,0,0
48051,Texas,Burleson County,18058,0,0
48311,Texas,McMullen County,774,0,0
48359,Texas,Oldham County,2094,0,0
48417,Texas,Shackelford County,3296,0,0
48031,Texas,Blanco County,11478,0,0
48397,Texas,Rockwall County,97175,0,0
48413,Texas,Schleicher County,2983,0,0
48235,Texas,Irion County,1620,0,0
48175,Texas,Goliad County,7565,0,0
48421,Texas,Sherman County,3059,0,0
48105,Texas,Crockett County,3484,0,0
48065,Texas,Carson County,6009,0,0
48317,Texas,Martin County,5649,0,0
48033,Texas,Borden County,613,0,0
48011,Texas,Armstrong County,1973,0,0
48301,Texas,Loving County,98,0,0
48211,Texas,Hemphill County,3994,0,0
48023,Texas,Baylor County,3577,0,0
48205,Texas,Hartley County,5669,0,0
48435,Texas,Sutton County,3824,0,0
02060,Alaska,Bristol Bay Borough,875,0,0
02016,Alaska,Aleutians West Census Area,5698,0,0
02230,Alaska,Skagway Municipality,1107,0,0
02110,Alaska,Juneau City and Borough,32227,0,0
02100,Alaska,Haines Borough,2518,0,0
02130,Alaska,Ketchikan Gateway Borough,13800,0,0
02195,Alaska,Petersburg Census Area,3257,0,0
02220,Alaska,Sitka City and Borough,8640,0,0
15005,Hawaii,Kalawao County,66,0,0
20095,Kansas,Kingman County,7340,0,0
20159,Kansas,Rice County,9658,0,0
20197,Kansas,Wabaunsee County,6889,0,0
20181,Kansas,Sherman County,5938,0,0
20153,Kansas,Rawlins County,2502,0,0
20033,Kansas,Comanche County,1740,0,0
20023,Kansas,Cheyenne County,2665,0,0
20105,Kansas,Lincoln County,3044,0,0
20087,Kansas,Jefferson County,18890,0,0
20083,Kansas,Hodgeman County,1876,0,0
20079,Kansas,Harvey County,34503,0,0
20101,Kansas,Lane County,1564,0,0
20039,Kansas,Decatur County,2860,0,0
20109,Kansas,Logan County,2805,0,0
20157,Kansas,Republic County,4658,0,0
20053,Kansas,Ellsworth County,6231,0,0
20141,Kansas,Osborne County,3530,0,0
20131,Kansas,Nemaha County,10121,0,0
20137,Kansas,Norton County,5446,0,0
20195,Kansas,Trego County,2840,0,0
20135,Kansas,Ness County,2876,0,0
20097,Kansas,Kiowa County,2505,0,0
20171,Kansas,Scott County,4917,0,0
20119,Kansas,Meade County,4180,0,0
20187,Kansas,Stanton County,2052,0,0
20025,Kansas,Clark County,2026,0,0
20069,Kansas,Gray County,6039,0,0
20121,Kansas,Miami County,33417,0,0
20071,Kansas,Greeley County,1185,0,0
20117,Kansas,Marshall County,9749,0,0
20179,Kansas,Sheridan County,2506,0,0
20149,Kansas,Pottawatomie County,23847,0,0
20145,Kansas,Pawnee County,6629,0,0
20193,Kansas,Thomas County,7810,0,0
20185,Kansas,Stafford County,4181,0,0
20203,Kansas,Wichita County,2130,0,0
20075,Kansas,Hamilton County,2591,0,0
20127,Kansas,Morris County,5566,0,0
20027,Kansas,Clay County,8082,0,0
20199,Kansas,Wallace County,1574,0,0
20045,Kansas,Douglas County,120290,0,0
20113,Kansas,McPherson County,28567,0,0
32011,Nevada,Eureka County,1859,0,0
32015,Nevada,Lander County,5643,0,0
32027,Nevada,Pershing County,6615,0,0
32017,Nevada,Lincoln County,5180,0,0
32029,Nevada,Storey County,3988,0,0
13219,Georgia,Oconee County,38132,0,0
13125,Georgia,Glascock County,2996,0,0
13187,Georgia,Lumpkin County,32402,0,0
13211,Georgia,Morgan County,18507,0,0
13103,Georgia,Effingham County,60477,0,0
13177,Georgia,Lee County,29502,0,0
13231,Georgia,Pike County,18327,0,0
13073,Georgia,Columbia County,150705,0,0
13117,Georgia,Forsyth County,228383,0,0
13209,Georgia,Montgomery County,9058,0,0
13129,Georgia,Gordon County,57202,0,0
13085,Georgia,Dawson County,24536,0,0
13113,Georgia,Fayette County,112303,0,0
13101,Georgia,Echols County,3981,0,0
18063,Indiana,Hendricks County,163799,0,0
18051,Indiana,Gibson County,33656,0,0
18101,Indiana,Martin County,10212,0,0
18021,Indiana,Clay County,26234,0,0
18011,Indiana,Boone County,65544,0,0
18115,Indiana,Ohio County,5874,0,0
18173,Indiana,Warrick County,62280,0,0
18133,Indiana,Putnam County,37384,0,0
18013,Indiana,Brown County,15064,0,0
18161,Indiana,Union County,7113,0,0
18015,Indiana,Carroll County,20074,0,0
18171,Indiana,Warren County,8237,0,0
18079,Indiana,Jennings County,27710,0,0
30001,Montana,Beaverhead County,9415,0,0
30059,Montana,Meagher County,1888,0,0
30109,Montana,Wibaux County,1122,0,0
30027,Montana,Fergus County,11221,0,0
30097,Montana,Sweet Grass County,3670,0,0
30025,Montana,Fallon County,2921,0,0
30075,Montana,Powder River County,1607,0,0
30077,Montana,Powell County,6854,0,0
30057,Montana,Madison County,8302,0,0
30055,Montana,McCone County,1790,0,0
30021,Montana,Dawson County,9017,0,0
30069,Montana,Petroleum County,453,0,0
30083,Montana,Richland County,11199,0,0
30039,Montana,Granite County,3311,0,0
30095,Montana,Stillwater County,9466,0,0
30043,Montana,Jefferson County,11917,0,0
50015,Vermont,Lamoille County,25318,0,0
50013,Vermont,Grand Isle County,7022,0,0
50001,Vermont,Addison County,36882,0,0
56011,Wyoming,Crook County,7472,0,0
56005,Wyoming,Campbell County,47409,0,0
56033,Wyoming,Sheridan County,30140,0,0
56029,Wyoming,Park County,29148,0,0
56009,Wyoming,Converse County,13921,0,0
56039,Wyoming,Teton County,23280,0,0
56045,Wyoming,Weston County,7049,0,0
56019,Wyoming,Johnson County,8487,0,0
56031,Wyoming,Platte County,8582,0,0
56001,Wyoming,Albany County,38390,0,0
56035,Wyoming,Sublette County,9880,0,0
56043,Wyoming,Washakie County,8027,0,0
08017,Colorado,Cheyenne County,2026,0,0
08037,Colorado,Eagle County,54681,0,0
08049,Colorado,Grand County,15303,0,0
08039,Colorado,Elbert County,25717,0,0
08014,Colorado,Broomfield County,67886,0,0
08079,Colorado,Mineral County,824,0,0
08053,Colorado,Hinsdale County,857,0,0
08035,Colorado,Douglas County,336041,0,0
08103,Colorado,Rio Blanco County,6384,0,0
08111,Colorado,San Juan County,589,0,0
08091,Colorado,Ouray County,4796,0,0
08057,Colorado,Jackson County,1261,0,0
08097,Colorado,Pitkin County,17926,0,0
08047,Colorado,Gilpin County,6018,0,0
08113,Colorado,San Miguel County,8049,0,0
08121,Colorado,Washington County,4868,0,0
08107,Colorado,Routt County,25072,0,0
08117,Colorado,Summit County,30649,0,0
17141,Illinois,Ogle County,51025,0,0
17129,Illinois,Menard County,12306,0,0
17025,Illinois,Clay County,13287,0,0
17175,Illinois,Stark County,5447,0,0
17047,Illinois,Edwards County,6455,0,0
17065,Illinois,Hamilton County,8176,0,0
17083,Illinois,Jersey County,21937,0,0
17011,Illinois,Bureau County,33122,0,0
17155,Illinois,Putnam County,5721,0,0
17071,Illinois,Henderson County,6809,0,0
17123,Illinois,Marshall County,11679,0,0
17133,Illinois,Monroe County,34168,0,0
17107,Illinois,Logan County,29003,0,0
17009,Illinois,Brown County,6628,0,0
17131,Illinois,Mercer County,15589,0,0
17079,Illinois,Jasper County,9594,0,0
17035,Illinois,Cumberland County,10836,0,0
17027,Illinois,Clinton County,37634,0,0
17005,Illinois,Bond County,16589,0,0
17171,Illinois,Scott County,5005,0,0
17093,Illinois,Kendall County,126054,0,0
17189,Illinois,Washington County,14058,0,0
17063,Illinois,Grundy County,50666,0,0
21185,Kentucky,Oldham County,65967,0,0
21215,Kentucky,Spencer County,18680,0,0
21157,Kentucky,Marshall County,31192,0,0
21091,Kentucky,Hancock County,8720,0,0
21229,Kentucky,Washington County,12023,0,0
21239,Kentucky,Woodford County,26318,0,0
24027,Maryland,Howard County,318855,0,0
24037,Maryland,St. Mary's County,112290,0,0
24003,Maryland,Anne Arundel County,571275,0,0
24035,Maryland,Queen Anne's County,49632,0,0
24009,Maryland,Calvert County,91511,0,0
24013,Maryland,Carroll County,167699,0,0
26019,Michigan,Benzie County,17615,0,0
26095,Michigan,Luce County,6338,0,0
26139,Michigan,Ottawa County,286558,0,0
26055,Michigan,Grand Traverse County,92181,0,0
26083,Michigan,Keweenaw County,2111,0,0
26137,Michigan,Otsego County,24490,0,0
26015,Michigan,Barry County,60540,0,0
29227,Missouri,Worth County,2027,0,0
29003,Missouri,Andrew County,17503,0,0
29186,Missouri,Ste. Genevieve County,17848,0,0
29027,Missouri,Callaway County,44889,0,0
29177,Missouri,Ray County,22875,0,0
29151,Missouri,Osage County,13615,0,0
29173,Missouri,Ralls County,10234,0,0
29049,Missouri,Clinton County,20500,0,0
31081,Nebraska,Hamilton County,9215,0,0
31083,Nebraska,Harlan County,3415,0,0
31031,Nebraska,Cherry County,5779,0,0
31093,Nebraska,Howard County,6417,0,0
31123,Nebraska,Morrill County,4781,0,0
31035,Nebraska,Clay County,6203,0,0
31007,Nebraska,Banner County,722,0,0
31163,Nebraska,Sherman County,3033,0,0
31003,Nebraska,Antelope County,6341,0,0
31025,Nebraska,Cass County,25888,0,0
31177,Nebraska,Washington County,20361,0,0
31029,Nebraska,Chase County,3783,0,0
31103,Nebraska,Keya Paha County,760,0,0
31125,Nebraska,Nance County,3544,0,0
31033,Nebraska,Cheyenne County,9604,0,0
31091,Nebraska,Hooker County,693,0,0
31175,Nebraska,Valley County,4206,0,0
31155,Nebraska,Saunders County,21165,0,0
31165,Nebraska,Sioux County,1219,0,0
31127,Nebraska,Nemaha County,6973,0,0
31117,Nebraska,McPherson County,395,0,0
31009,Nebraska,Blaine County,477,0,0
31059,Nebraska,Fillmore County,5547,0,0
31015,Nebraska,Boyd County,1937,0,0
31159,Nebraska,Seward County,17171,0,0
31121,Nebraska,Merrick County,7798,0,0
31135,Nebraska,Perkins County,2901,0,0
31167,Nebraska,Stanton County,5957,0,0
31089,Nebraska,Holt County,10177,0,0
31049,Nebraska,Deuel County,1831,0,0
31169,Nebraska,Thayer County,5057,0,0
31073,Nebraska,Gosper County,2013,0,0
31179,Nebraska,Wayne County,9332,0,0
31099,Nebraska,Kearney County,6529,0,0
31011,Nebraska,Boone County,5279,0,0
31023,Nebraska,Butler County,8029,0,0
31171,Nebraska,Thomas County,645,0,0
31149,Nebraska,Rock County,1414,0,0
31137,Nebraska,Phelps County,9100,0,0
31069,Nebraska,Garden County,1864,0,0
31185,Nebraska,York County,13745,0,0
31027,Nebraska,Cedar County,8498,0,0
31045,Nebraska,Dawes County,8810,0,0
31077,Nebraska,Greeley County,2382,0,0
31143,Nebraska,Polk County,5225,0,0
31063,Nebraska,Frontier County,2640,0,0
31139,Nebraska,Pierce County,7144,0,0
36051,New York,Livingston County,63591,0,0
36109,New York,Tompkins County,102642,0,0
36079,New York,Putnam County,98787,0,0
40003,Oklahoma,Alfalfa County,5847,0,0
40053,Oklahoma,Grant County,4397,0,0
51121,Virginia,Montgomery County,98140,0,0
51065,Virginia,Fluvanna County,26594,0,0
51071,Virginia,Giles County,16772,0,0
51103,Virginia,Lancaster County,10724,0,0
51061,Virginia,Fauquier County,69728,0,0
51127,Virginia,New Kent County,21686,0,0
51177,Virginia,Spotsylvania County,132833,0,0
51199,Virginia,York County,67982,0,0
51069,Virginia,Frederick County,86415,0,0
51099,Virginia,King George County,26229,0,0
51685,Virginia,Manassas Park city,16986,0,0
51830,Virginia,Williamsburg city,14927,0,0
51750,Virginia,Radford city,17691,0,0
51610,Virginia,Falls Church city,14128,0,0
51125,Virginia,Nelson County,14831,0,0
51678,Virginia,Lexington city,7241,0,0
51145,Virginia,Powhatan County,28815,0,0
51735,Virginia,Poquoson city,12090,0,0
51007,Virginia,Amelia County,12953,0,0
51085,Virginia,Hanover County,105537,0,0
51021,Virginia,Bland County,6388,0,0
51115,Virginia,Mathews County,8788,0,0
51600,Virginia,Fairfax city,23531,0,0
51157,Virginia,Rappahannock County,7378,0,0
51073,Virginia,Gloucester County,37222,0,0
51045,Virginia,Craig County,5110,0,0
51043,Virginia,Clarke County,14423,0,0
51101,Virginia,King William County,16688,0,0
51097,Virginia,King and Queen County,7042,0,0
51036,Virginia,Charles City County,7014,0,0
51075,Virginia,Goochland County,22865,0,0
51113,Virginia,Madison County,13170,0,0
51079,Virginia,Greene County,19519,0,0
27125,Minnesota,Red Lake County,4015,0,0
27059,Minnesota,Isanti County,39430,0,0
27157,Minnesota,Wabasha County,21537,0,0
27015,Minnesota,Brown County,25163,0,0
27063,Minnesota,Jackson County,9954,0,0
27165,Minnesota,Watonwan County,10972,0,0
27009,Minnesota,Benton County,40129,0,0
27155,Minnesota,Traverse County,3311,0,0
27163,Minnesota,Washington County,255938,0,0
27107,Minnesota,Norman County,6520,0,0
27089,Minnesota,Marshall County,9372,0,0
27143,Minnesota,Sibley County,14892,0,0
27133,Minnesota,Rock County,9402,0,0
27039,Minnesota,Dodge County,20669,0,0
27171,Minnesota,Wright County,134438,0,0
27149,Minnesota,Stevens County,9789,0,0
27065,Minnesota,Kanabec County,16089,0,0
27075,Minnesota,Lake County,10560,0,0
27055,Minnesota,Houston County,18648,0,0
27025,Minnesota,Chisago County,55315,0,0
27129,Minnesota,Renville County,14652,0,0
27121,Minnesota,Pope County,11048,0,0
27141,Minnesota,Sherburne County,94463,0,0
27169,Minnesota,Winona County,50725,0,0
27073,Minnesota,Lac qui Parle County,6719,0,0
27081,Minnesota,Lincoln County,5677,0,0
27019,Minnesota,Carver County,101949,0,0
27079,Minnesota,Le Sueur County,28242,0,0
27113,Minnesota,Pennington County,14183,0,0
27093,Minnesota,Meeker County,23105,0,0
27043,Minnesota,Faribault County,13801,0,0
27117,Minnesota,Pipestone County,9191,0,0
27023,Minnesota,Chippewa County,11953,0,0
27167,Minnesota,Wilkin County,6291,0,0
27103,Minnesota,Nicollet County,33954,0,0
27041,Minnesota,Douglas County,37513,0,0
27101,Minnesota,Murray County,8296,0,0
47187,Tennessee,Williamson County,225389,0,0
47023,Tennessee,Chester County,17190,0,0
47127,Tennessee,Moore County,6378,0,0
47169,Tennessee,Trousdale County,10231,0,0
55029,Wisconsin,Door County,27472,0,0
55135,Wisconsin,Waupaca County,51245,0,0
55109,Wisconsin,St. Croix County,88732,0,0
55033,Wisconsin,Dunn County,44759,0,0
55089,Wisconsin,Ozaukee County,88597,0,0
55053,Wisconsin,Jackson County,20522,0,0
55015,Wisconsin,Calumet County,49928,0,0
55005,Wisconsin,Barron County,45229,0,0
55097,Wisconsin,Portage County,70632,0,0
55065,Wisconsin,Lafayette County,16715,0,0
55131,Wisconsin,Washington County,134925,0,0
55069,Wisconsin,Lincoln County,27744,0,0
55045,Wisconsin,Green County,36896,0,0
55049,Wisconsin,Iowa County,23618,0,0
55011,Wisconsin,Buffalo County,13126,0,0
55061,Wisconsin,Kewaunee County,20387,0,0
55021,Wisconsin,Columbia County,57133,0,0
55091,Wisconsin,Pepin County,7265,0,0
55037,Wisconsin,Florence County,4314,0,0
55047,Wisconsin,Green Lake County,18755,0,0
55093,Wisconsin,Pierce County,41977,0,0
06091,California,Sierra County,3040,0,0
35028,New Mexico,Los Alamos County,18625,0,0
53069,Washington,Wahkiakum County,4268,0,0
53013,Washington,Columbia County,3992,0,0
53059,Washington,Skamania County,11753,0,0
53023,Washington,Garfield County,2230,0,0
53055,Washington,San Juan County,16788,0,0
38029,North Dakota,Emmons County,3310,0,0
38031,North Dakota,Foster County,3260,0,0
38013,North Dakota,Burke County,2182,0,0
38001,North Dakota,Adams County,2311,0,0
38087,North Dakota,Slope County,742,0,0
38007,North Dakota,Billings County,922,0,0
38039,North Dakota,Griggs County,2409,0,0
38045,North Dakota,LaMoure County,4125,0,0
38095,North Dakota,Towner County,2224,0,0
38097,North Dakota,Traill County,8008,0,0
38083,North Dakota,Sheridan County,1409,0,0
38009,North Dakota,Bottineau County,6502,0,0
38051,North Dakota,McIntosh County,2597,0,0
38075,North Dakota,Renville County,2442,0,0
38059,North Dakota,Morton County,30868,0,0
38071,North Dakota,Ramsey County,11583,0,0
38103,North Dakota,Wells County,3976,0,0
38019,North Dakota,Cavalier County,3803,0,0
38037,North Dakota,Grant County,2353,0,0
38003,North Dakota,Barnes County,10706,0,0
38067,North Dakota,Pembina County,6947,0,0
38105,North Dakota,Williams County,35208,0,0
38049,North Dakota,McHenry County,5878,0,0
38081,North Dakota,Sargent County,3872,0,0
38011,North Dakota,Bowman County,3148,0,0
38065,North Dakota,Oliver County,1842,0,0
38041,North Dakota,Hettinger County,2547,0,0
38089,North Dakota,Stark County,31081,0,0
38063,North Dakota,Nelson County,2894,0,0
38021,North Dakota,Dickey County,4938,0,0
38073,North Dakota,Ransom County,5314,0,0
38047,North Dakota,Logan County,1872,0,0
38015,North Dakota,Burleigh County,94793,0,0
38033,North Dakota,Golden Valley County,1845,0,0
38091,North Dakota,Steele County,1744,0,0
38023,North Dakota,Divide County,2335,0,0
42001,Pennsylvania,Adams County,102470,0,0
42057,Pennsylvania,Fulton County,14506,0,0
46051,South Dakota,Grant County,7149,0,0
46115,South Dakota,Spink County,6483,0,0
46057,South Dakota,Hamlin County,6025,0,0
46077,South Dakota,Kingsbury County,4944,0,0
46087,South Dakota,McCook County,5548,0,0
46045,South Dakota,Edmunds County,3909,0,0
46073,South Dakota,Jerauld County,2018,0,0
46119,South Dakota,Sully County,1305,0,0
46043,South Dakota,Douglas County,2929,0,0
46111,South Dakota,Sanborn County,2379,0,0
46063,South Dakota,Harding County,1306,0,0
46039,South Dakota,Deuel County,4318,0,0
46097,South Dakota,Miner County,2211,0,0
46079,South Dakota,Lake County,12717,0,0
46129,South Dakota,Walworth County,5457,0,0
46127,South Dakota,Union County,15368,0,0
46059,South Dakota,Hand County,3256,0,0
46049,South Dakota,Faulk County,2312,0,0
46067,South Dakota,Hutchinson County,7308,0,0
46105,South Dakota,Perkins County,2897,0,0
46107,South Dakota,Potter County,2315,0,0
46083,South Dakota,Lincoln County,56826,0,0
46033,South Dakota,Custer County,8719,0,0
46021,South Dakota,Campbell County,1485,0,0
46027,South Dakota,Clay County,13957,0,0
46011,South Dakota,Brookings County,34601,0,0
46003,South Dakota,Aurora County,2763,0,0
46125,South Dakota,Turner County,8300,0,0
46061,South Dakota,Hanson County,3399,0,0
25007,Massachusetts,Dukes County,17312,0,0
25019,Massachusetts,Nantucket County,11168,0,0
33009,New Hampshire,Grafton County,89777,0,0
33001,New Hampshire,Belknap County,60887,0,0
33017,New Hampshire,Strafford County,129124,0,0
33003,New Hampshire,Carroll County,48138,0,0
54073,West Virginia,Pleasants County,7482,0,0
37135,North Carolina,Orange County,144836,0,0
37029,North Carolina,Camden County,10551,0,0
37073,North Carolina,Gates County,11548,0,0
19185,Iowa,Wayne County,6429,6429,1
39163,Ohio,Vinton County,13083,13083,1
39001,Ohio,Adams County,27776,27776,1
39115,Ohio,Morgan County,14640,14640,1
39105,Ohio,Meigs County,23078,23078,1
49019,Utah,Grand County,9640,9640,1
49055,Utah,Wayne County,2689,2689,1
49031,Utah,Piute County,1866,1866,1
49013,Utah,Duchesne County,20148,20148,1
49025,Utah,Kane County,7484,7484,1
16025,Idaho,Camas County,1048,1048,1
16039,Idaho,Elmore County,26743,26743,1
16063,Idaho,Lincoln County,5350,5350,1
16033,Idaho,Clark County,913,913,1
16087,Idaho,Washington County,10057,10057,1
16079,Idaho,Shoshone County,12609,12609,1
16049,Idaho,Idaho County,16411,16411,1
16037,Idaho,Custer County,4169,4169,1
16023,Idaho,Butte County,2581,2581,1
16021,Idaho,Boundary County,11845,11845,1
16061,Idaho,Lewis County,3838,3838,1
16009,Idaho,Benewah County,9138,9138,1
16071,Idaho,Oneida County,4385,4385,1
23029,Maine,Washington County,31491,31491,1
48283,Texas,La Salle County,7416,7416,1
48087,Texas,Collingsworth County,2969,2969,1
48351,Texas,Newton County,13914,13914,1
48047,Texas,Brooks County,7141,7141,1
48455,Texas,Trinity County,14620,14620,1
48267,Texas,Kimble County,4373,4373,1
48419,Texas,Shelby County,25349,25349,1
48163,Texas,Frio County,19871,19871,1
48067,Texas,Cass County,30059,30059,1
48155,Texas,Foard County,1275,1275,1
48081,Texas,Coke County,3303,3303,1
48125,Texas,Dickens County,2203,2203,1
48101,Texas,Cottle County,1642,1642,1
48315,Texas,Marion County,10017,10017,1
48431,Texas,Sterling County,1231,1231,1
48327,Texas,Menard County,2119,2119,1
48271,Texas,Kinney County,3659,3659,1
48447,Texas,Throckmorton County,1436,1436,1
48191,Texas,Hall County,3048,3048,1
48505,Texas,Zapata County,14304,14304,1
48263,Texas,Kent County,647,647,1
48445,Texas,Terry County,12528,12528,1
48137,Texas,Edwards County,1918,1918,1
48369,Texas,Parmer County,9718,9718,1
48095,Texas,Concho County,3266,3266,1
48463,Texas,Uvalde County,26920,26920,1
48323,Texas,Maverick County,58174,58174,1
48279,Texas,Lamb County,13123,13123,1
48349,Texas,Navarro County,48995,48995,1
48391,Texas,Refugio County,7145,7145,1
48165,Texas,Gaines County,20706,20706,1
48489,Texas,Willacy County,21588,21588,1
48443,Texas,Terrell County,896,896,1
48195,Texas,Hansford County,5520,5520,1
48249,Texas,Jim Wells County,40972,40972,1
48433,Texas,Stonewall County,1476,1476,1
48107,Texas,Crosby County,5836,5836,1
48501,Texas,Yoakum County,8631,8631,1
48229,Texas,Hudspeth County,4415,4415,1
48017,Texas,Bailey County,7100,7100,1
48427,Texas,Starr County,64078,64078,1
48261,Texas,Kenedy County,568,568,1
48407,Texas,San Jacinto County,28180,28180,1
48127,Texas,Dimmit County,10438,10438,1
48275,Texas,Knox County,3705,3705,1
48403,Texas,Sabine County,10471,10471,1
48207,Texas,Haskell County,5726,5726,1
48247,Texas,Jim Hogg County,5231,5231,1
48173,Texas,Glasscock County,1510,1510,1
48269,Texas,King County,237,237,1
48377,Texas,Presidio County,6975,6975,1
48507,Texas,Zavala County,12039,12039,1
48385,Texas,Real County,3408,3408,1
48169,Texas,Garza County,6070,6070,1
48079,Texas,Cochran County,2887,2887,1
48387,Texas,Red River County,12171,12171,1
48197,Texas,Hardeman County,3945,3945,1
48109,Texas,Culberson County,2214,2214,1
48405,Texas,San Augustine County,8286,8286,1
48345,Texas,Motley County,1252,1252,1
48045,Texas,Briscoe County,1457,1457,1
48131,Texas,Duval County,11268,11268,1
48243,Texas,Jeff Davis County,2241,2241,1
02282,Alaska,Yakutat City and Borough,649,649,1
02188,Alaska,Northwest Arctic Borough,7715,7715,1
02050,Alaska,Bethel Census Area,18134,18134,1
02070,Alaska,Dillingham Census Area,4961,4961,1
02275,Alaska,Wrangell City and Borough,2502,2502,1
02013,Alaska,Aleutians East Borough,3385,3385,1
02164,Alaska,Lake and Peninsula Borough,1393,1393,1
02068,Alaska,Denali Borough,2246,2246,1
20093,Kansas,Kearny County,3907,3907,1
20129,Kansas,Morton County,2754,2754,1
20017,Kansas,Chase County,2637,2637,1
20013,Kansas,Brown County,9626,9626,1
20201,Kansas,Washington County,5493,5493,1
20207,Kansas,Woodson County,3157,3157,1
20049,Kansas,Elk County,2523,2523,1
20081,Kansas,Haskell County,4018,4018,1
20019,Kansas,Chautauqua County,3323,3323,1
20089,Kansas,Jewell County,2885,2885,1
20007,Kansas,Barber County,4624,4624,1
32021,Nevada,Mineral County,4460,4460,1
32009,Nevada,Esmeralda County,969,969,1
41037,Oregon,Lake County,7837,7837,1
41069,Oregon,Wheeler County,1415,1415,1
41055,Oregon,Sherman County,1642,1642,1
41049,Oregon,Morrow County,11303,11303,1
41025,Oregon,Harney County,7267,7267,1
41045,Oregon,Malheur County,30412,30412,1
41023,Oregon,Grant County,7189,7189,1
41021,Oregon,Gilliam County,1878,1878,1
01133,Alabama,Winston County,23784,23784,1
01059,Alabama,Franklin County,31466,31466,1
01085,Alabama,Lowndes County,10079,10079,1
01129,Alabama,Washington County,16541,16541,1
01011,Alabama,Bullock County,10248,10248,1
01005,Alabama,Barbour County,25361,25361,1
01091,Alabama,Marengo County,19321,19321,1
01063,Alabama,Greene County,8324,8324,1
01035,Alabama,Conecuh County,12394,12394,1
01027,Alabama,Clay County,13337,13337,1
01099,Alabama,Monroe County,21270,21270,1
01013,Alabama,Butler County,19828,19828,1
01131,Alabama,Wilcox County,10681,10681,1
01071,Alabama,Jackson County,51852,51852,1
01023,Alabama,Choctaw County,12925,12925,1
01119,Alabama,Sumter County,12797,12797,1
01087,Alabama,Macon County,18708,18708,1
01057,Alabama,Fayette County,16494,16494,1
01105,Alabama,Perry County,9293,9293,1
01075,Alabama,Lamar County,13885,13885,1
01025,Alabama,Clarke County,24128,24128,1
12059,Florida,Holmes County,19432,19432,1
12077,Florida,Liberty County,8345,8345,1
12123,Florida,Taylor County,21870,21870,1
12041,Florida,Gilchrist County,17953,17953,1
12133,Florida,Washington County,24764,24764,1
12029,Florida,Dixie County,16589,16589,1
12051,Florida,Hendry County,40732,40732,1
